File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Dynamic DPI sample\C++\SampleCustomColorFontButton.cpp,"CSampleCustomColorFontButton::OnPointerUp(float , float )",7,6,4,1,1,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,CSampleDesktopWindow::CSampleDesktopWindow(),4,3,3,0,0,0,1,8,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,CSampleDesktopWindow::~CSampleDesktopWindow(),6,6,4,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::Initialize( _In_ RECT bounds, _In_ std::wstring title )",28,20,14,7,4,0,4,27,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,CSampleDesktopWindow::SetNewDpi(_In_ float newPerMonitorDpi),5,5,3,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,CSampleDesktopWindow::Run(),24,20,14,3,4,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,CSampleDesktopWindow::Render(),32,24,16,6,6,0,2,12,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnCreate( _In_ UINT, _In_ WPARAM, _In_ LPARAM lParam, _Out_ BOOL &bHandled )",30,20,17,2,6,0,4,34,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnDestroy( _In_ UINT, _In_ WPARAM, _In_ LPARAM, _Out_ BOOL &bHandled )",5,4,4,1,1,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnPaint( _In_ UINT, _In_ WPARAM, _In_ LPARAM, _Out_ BOOL &bHandled )",20,16,12,3,4,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnWindowPosChanged( _In_ UINT, _In_ WPARAM, _In_ LPARAM lparam, _Out_ BOOL &bHandled )",15,14,12,2,1,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnDisplayChange( _In_ UINT, _In_ WPARAM, _In_ LPARAM, _Out_ BOOL &bHandled )",5,5,5,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnGetMinMaxInfo( _In_ UINT, _In_ WPARAM, _In_ LPARAM lparam, _Out_ BOOL &bHandled )",7,5,5,1,2,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnActivate( _In_ UINT, _In_ WPARAM wparam, _In_ LPARAM, _Out_ BOOL &bHandled )",5,4,4,1,1,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnPowerBroadcast( _In_ UINT, _In_ WPARAM, _In_ LPARAM lparam, _Out_ BOOL &bHandled )",19,16,12,3,3,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnOcclusion( _In_ UINT, _In_ WPARAM, _In_ LPARAM, _Out_ BOOL &bHandled )",12,10,8,2,2,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnPointerDown( _In_ UINT, _In_ WPARAM, _In_ LPARAM lparam, _Out_ BOOL &bHandled )",18,12,12,1,5,0,1,9,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnPointerUp( _In_ UINT, _In_ WPARAM, _In_ LPARAM lparam, _Out_ BOOL &bHandled )",18,12,12,1,5,0,1,9,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnEnterSizeMove( _In_ UINT, _In_ WPARAM, _In_ LPARAM, _Out_ BOOL &bHandled )",6,4,4,1,1,0,1,9,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnExitSizeMove( _In_ UINT, _In_ WPARAM, _In_ LPARAM, _Out_ BOOL &bHandled )",6,4,4,1,1,0,1,9,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnDpiChange( _In_ UINT, _In_ WPARAM wparam, _In_ LPARAM lparam, _Out_ BOOL &bHandled )",8,5,5,1,2,0,1,9,
F:\papter datasets\Dynamic DPI sample\C++\SampleDesktopWindow.cpp,"CSampleDesktopWindow::OnPointerUpdate( _In_ UINT, _In_ WPARAM, _In_ LPARAM lparam, _Out_ BOOL &bHandled )",18,12,12,1,5,0,1,9,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,CSampleDynamicDpiWindow::CSampleDynamicDpiWindow(),123,99,85,0,19,0,5,57,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,CSampleDynamicDpiWindow::~CSampleDynamicDpiWindow(),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,"CSampleDynamicDpiWindow::Initialize( _In_ RECT bounds, _In_ std::wstring title )",17,9,7,2,4,0,4,41,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,CSampleDynamicDpiWindow::OnDeviceLost(),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,CSampleDynamicDpiWindow::OnDeviceRestored(),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleDynamicDpiWindow.cpp,CSampleDynamicDpiWindow::CreateDeviceIndependentResources(),5,3,3,0,1,0,1,4,
