File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\benchmark\re2c-0.14.3\code.cc,"merge(Span *x0, State *fg, State *bg)",72,61,39,9,10,0,1,9,
F:\benchmark\re2c-0.14.3\code.cc,SCC::SCC(uint size),1,1,1,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,SCC::~SCC(),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,SCC::traverse(State *x),32,28,16,6,4,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,state_is_in_non_trivial_SCC(const State* s),24,14,8,6,3,0,7,26,
F:\benchmark\re2c-0.14.3\code.cc,maxDist(State *s),34,28,16,8,5,1,1,9,
F:\benchmark\re2c-0.14.3\code.cc,calcDepth(State *head),24,17,9,4,3,0,4,25,
F:\benchmark\re2c-0.14.3\code.cc,DFA::findSCCs(),19,16,10,3,3,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,DFA::split(State *s),12,12,12,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,DFA::findBaseState(),31,26,16,6,5,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,DFA::prepare(),135,107,65,21,24,1,4,18,
F:\benchmark\re2c-0.14.3\code.cc,"DFA::emit(std::ostream &o, uint& ind, const RegExpMap* specMap, const std::string& condName, bool isLastCond, bool& bPrologBrace)",174,142,77,30,19,0,13,79,
F:\benchmark\re2c-0.14.3\code.cc,"genGetStateGotoSub(std::ostream &o, uint ind, uint start_label, int cMin, int cMax)",22,21,13,2,1,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"genGetStateGoto(std::ostream &o, uint& ind, uint start_label)",69,63,37,9,6,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"genCondTable(std::ostream &o, uint ind, const RegExpMap& specMap)",18,15,9,3,3,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"genCondGotoSub(std::ostream &o, uint ind, RegExpIndices& vCondList, uint cMin, uint cMax)",15,14,10,1,1,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"genCondGoto(std::ostream &o, uint ind, const RegExpMap& specMap)",39,37,19,6,2,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"genTypes(std::string& o, uint ind, const RegExpMap& specMap)",20,14,10,2,5,0,1,13,
F:\benchmark\re2c-0.14.3\code.cc,"genHeader(std::ostream &o, uint ind, const RegExpMap& specMap)",14,13,11,1,0,0,1,3,
F:\benchmark\re2c-0.14.3\code.cc,"operator <<(std::ostream& o, const file_info& li)",6,6,4,2,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"Scanner::config(const Str& cfg, int num)",129,129,61,13,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"Scanner::config(const Str& cfg, const Str& val)",131,128,77,7,3,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,ScannerState::ScannerState(),1,1,1,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"Scanner::Scanner(std::istream& i, std::ostream& o)",1,1,1,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"Scanner::fill(char *cursor, uint need)",55,51,37,8,0,0,4,30,
F:\benchmark\re2c-0.14.3\code.cc,Scanner::set_in_parse(bool new_in_parse),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"Scanner::fatal_at(uint line, uint ofs, const char *msg) const",6,6,4,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"Scanner::fatal(uint ofs, const char *msg) const",2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"Scanner::fatalf_at(uint line, const char* fmt, ...) const",12,8,8,0,4,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"Scanner::fatalf(const char *fmt, ...) const",12,8,8,0,4,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,Scanner::~Scanner(),5,5,3,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"Scanner::check_token_length(char *pos, uint len) const",5,5,3,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,Scanner::raw_token(std::string enclosure) const,2,2,2,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,Scanner::reuse(),6,6,6,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,Scanner::restore_state(const ScannerState& state),19,19,17,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\dfa.cc,"Span::show(std::ostream &o, uint lb) const",8,7,5,2,1,0,0,0,
F:\benchmark\re2c-0.14.3\dfa.cc,"operator<<(std::ostream &o, const State &s)",18,13,9,3,5,0,0,0,
F:\benchmark\re2c-0.14.3\dfa.cc,"operator<<(std::ostream &o, const DFA &dfa)",7,6,4,2,1,0,0,0,
F:\benchmark\re2c-0.14.3\dfa.cc,State::State(),1,1,1,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\dfa.cc,State::~State(),4,4,4,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\dfa.cc,"closure(Ins **cP, Ins *i)",20,18,11,4,2,0,0,0,
F:\benchmark\re2c-0.14.3\dfa.cc,"DFA::DFA(Ins *ins, uint ni, uint lb, uint ub, const Char *rep)",82,62,42,11,20,0,0,0,
F:\benchmark\re2c-0.14.3\dfa.cc,DFA::~DFA(),12,11,9,1,1,0,0,0,
F:\benchmark\re2c-0.14.3\dfa.cc,"DFA::addState(State **a, State *s)",7,6,5,1,1,0,0,0,
F:\benchmark\re2c-0.14.3\dfa.cc,"DFA::findState(Ins **kernel, uint kCount)",52,41,26,8,11,0,0,0,
F:\benchmark\re2c-0.14.3\enc.cc,Enc::encode(uint & c) const,30,30,14,10,0,1,0,4,
F:\benchmark\re2c-0.14.3\enc.cc,Enc::decodeUnsafe(uint c) const,14,14,6,4,0,0,0,0,
F:\benchmark\re2c-0.14.3\enc.cc,"Enc::encodeRange(uint l, uint h) const",47,47,28,11,0,0,0,0,
F:\benchmark\re2c-0.14.3\enc.cc,Enc::fullRange() const,8,8,6,2,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::set(type_t t),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::expr_peek(),12,12,8,4,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::expr_peek_save(),2,2,2,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::stmt_peek(uint ind),2,2,2,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::stmt_skip(uint ind),12,12,8,4,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::stmt_backup(uint ind),12,12,8,4,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::stmt_backupctx(uint ind),13,12,8,4,0,0,1,9,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::stmt_restore(uint ind),12,12,8,4,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::stmt_restorectx(uint ind),13,12,8,4,0,0,1,9,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::stmt_skip_peek(uint ind),4,4,2,2,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::stmt_skip_backup(uint ind),4,4,2,2,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::stmt_backup_peek(uint ind),4,4,2,2,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::stmt_skip_backup_peek(uint ind),4,4,2,2,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::expr_lessthan_one(),4,4,2,2,0,0,0,0,
F:\benchmark\re2c-0.14.3\input_api.cc,InputAPI::expr_lessthan(uint n),12,12,8,4,0,0,0,0,
F:\benchmark\re2c-0.14.3\main.cc,usage(),85,85,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\main.cc,"main(int argc, char *argv[])",289,246,160,68,41,0,2,10,
F:\benchmark\re2c-0.14.3\mbo_getopt.cc,"mbo_opt_error(int, char * const *argv, int oint, int optchr, int err, int show_err)",27,21,13,7,6,0,0,0,
F:\benchmark\re2c-0.14.3\mbo_getopt.cc,"mbo_getopt(int argc, char* const *argv, const mbo_opt_struct *opts, char **optarg, int *optind, int show_err)",156,129,74,32,19,2,8,75,
F:\benchmark\re2c-0.14.3\parser.cc,strdup(const char* s),9,8,6,3,1,0,0,0,
F:\benchmark\re2c-0.14.3\parser.cc,context_check(CondList *clist),6,6,4,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\parser.cc,context_none(CondList *clist),4,4,4,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\parser.cc,"context_rule(CondList *clist, RegExp *expr, RegExp *look, Str *newcond, Token *code)",28,24,16,3,3,2,1,15,
F:\benchmark\re2c-0.14.3\parser.cc,"setup_rule(CondList *clist, Token *code)",17,17,11,3,0,0,0,0,
F:\benchmark\re2c-0.14.3\parser.cc,"default_rule(CondList *clist, Token *code)",16,16,10,3,0,0,0,0,
F:\benchmark\re2c-0.14.3\parser.cc,"yytnamerr(char *yyres, const char *yystr)",35,29,15,11,5,0,1,3,
F:\benchmark\re2c-0.14.3\parser.cc,"yysyntax_error(char *yyresult, int yystate, int yychar)",97,80,59,12,9,0,8,65,
F:\benchmark\re2c-0.14.3\parser.cc,"parse(Scanner& i, std::ostream& o, std::ostream* h)",222,199,121,32,15,0,8,49,
F:\benchmark\re2c-0.14.3\parser.cc,parse_cleanup(),7,7,7,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\print.cc,"prtChOrHex(std::ostream& o, uint c)",13,13,9,3,0,0,0,0,
F:\benchmark\re2c-0.14.3\print.cc,"prtHex(std::ostream& o, uint c)",29,28,8,1,1,0,0,0,
F:\benchmark\re2c-0.14.3\print.cc,"prtCh(std::ostream& o, uint c)",80,67,34,13,13,0,0,0,
F:\benchmark\re2c-0.14.3\print.cc,"printSpan(std::ostream& o, uint lb, uint ub)",20,17,11,2,3,0,0,0,
F:\benchmark\re2c-0.14.3\range.cc,"operator<<(std::ostream &o, const Range &r)",13,12,8,2,1,0,0,0,
F:\benchmark\re2c-0.14.3\range.cc,"doUnion(Range *r1, Range *r2)",77,59,33,23,18,0,0,0,
F:\benchmark\re2c-0.14.3\range.cc,"doDiff(Range *r1, Range *r2)",31,24,15,6,7,0,0,0,
F:\benchmark\re2c-0.14.3\range_suffix.cc,"emit(RangeSuffix * p, RegExp * re)",13,13,8,4,0,0,0,0,
F:\benchmark\re2c-0.14.3\scanner.cc,YYFILL(n),1,1,1,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\scanner.cc,RETURN(i),1,1,1,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\scanner.cc,Scanner::echo(),914,905,637,239,8,1,1,10,
F:\benchmark\re2c-0.14.3\scanner.cc,Scanner::set_sourceline(char *& cursor),121,119,61,16,2,0,0,0,
F:\benchmark\re2c-0.14.3\substr.cc,"strndup(const char *str, size_t len)",6,5,5,1,1,0,0,0,
F:\benchmark\re2c-0.14.3\substr.cc,SubStr::out(std::ostream& o) const,2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\substr.cc,"operator==(const SubStr &s1, const SubStr &s2)",2,2,2,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\substr.cc,Str::Str(const SubStr& s),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\substr.cc,Str::Str(const char *s),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\substr.cc,Str::Str(),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\substr.cc,Str::~Str(),6,6,5,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\translate.cc,octCh(uint c),2,2,2,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\translate.cc,hexCh(uint c),2,2,2,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\utf16_range.cc,"UTF16addContinuous1(RangeSuffix * & root, ushort l, ushort h)",16,16,9,4,0,0,0,0,
F:\benchmark\re2c-0.14.3\utf16_range.cc,"UTF16addContinuous2(RangeSuffix * & root, ushort l_ld, ushort h_ld, ushort l_tr, ushort h_tr)",32,32,18,8,0,0,0,0,
F:\benchmark\re2c-0.14.3\utf16_range.cc,"UTF16splitByContinuity(RangeSuffix * & root, ushort l_ld, ushort h_ld, ushort l_tr, ushort h_tr)",17,17,11,3,0,0,0,0,
F:\benchmark\re2c-0.14.3\utf16_range.cc,"UTF16splitByRuneLength(RangeSuffix * & root, utf16::rune l, utf16::rune h)",19,19,13,2,0,0,0,0,
F:\benchmark\re2c-0.14.3\utf16_regexp.cc,UTF16Symbol(utf16::rune r),9,9,6,3,0,0,0,0,
F:\benchmark\re2c-0.14.3\utf16_regexp.cc,UTF16Range(const Range * r),5,5,4,2,0,0,0,0,
F:\benchmark\re2c-0.14.3\utf8.cc,"utf8::rune_to_bytes(uchar *str, rune c)",52,26,19,8,4,0,22,98,
F:\benchmark\re2c-0.14.3\utf8.cc,utf8::rune_length(rune r),5,5,3,3,0,0,0,0,
F:\benchmark\re2c-0.14.3\utf8.cc,utf8::max_rune(uint i),9,9,7,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\utf8_range.cc,"UTF8addContinuous(RangeSuffix * & root, utf8::rune l, utf8::rune h, uint n)",26,25,16,5,1,0,0,0,
F:\benchmark\re2c-0.14.3\utf8_range.cc,"UTF8splitByContinuity(RangeSuffix * & root, utf8::rune l, utf8::rune h, uint n)",21,21,13,4,0,1,0,7,
